date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:05	11257/11257	---M-Z	200	added ('OK')	text/html	etag:%222bf9-64df8738fb6d0-gzip%22	https://mapitgis.com/contact/	F:/mapitgis/mapitgis/mapitgis.com/contact/index.html	(from https://mapitgis.com/)
17:04:05	17780/17780	---M-Z	200	added ('OK')	text/html	etag:%224574-64df8738fb6d0-gzip%22	https://mapitgis.com/testimonials/	F:/mapitgis/mapitgis/mapitgis.com/testimonials/index.html	(from https://mapitgis.com/)
17:04:05	3346572/3346572	---MCZ	200	added ('OK')	text/html	etag:%2233108c-64df8738fb6d0-gzip%22	https://mapitgis.com/blog/	F:/mapitgis/mapitgis/mapitgis.com/blog/index.html	(from https://mapitgis.com/)
17:04:05	12741/12741	---M-Z	200	added ('OK')	text/html	etag:%2231c5-64df8738fb6d0-gzip%22	https://mapitgis.com/feedback/	F:/mapitgis/mapitgis/mapitgis.com/feedback/index.html	(from https://mapitgis.com/)
17:04:05	54464/54464	---M-Z	200	added ('OK')	text/html	etag:%22d4c0-64df8738fbab8-gzip%22	https://mapitgis.com/privacy-policy/	F:/mapitgis/mapitgis/mapitgis.com/privacy-policy/index.html	(from https://mapitgis.com/)
17:04:06	25960/25960	---M-Z	200	added ('OK')	text/html	etag:%226568-64df8738fb6d0-gzip%22	https://mapitgis.com/terms/	F:/mapitgis/mapitgis/mapitgis.com/terms/index.html	(from https://mapitgis.com/)
17:04:06	146365/146365	---M--	200	added ('OK')	image/png	etag:%2223bbd-64df8733f02d3%22	https://mapitgis.com/assets/images/background-dark-07c1ea9ba7dc298ddd7b0ef43040522e.png	F:/mapitgis/mapitgis/mapitgis.com/assets/images/background-dark-07c1ea9ba7dc298ddd7b0ef43040522e.png	(from https://mapitgis.com/assets/css/styles.7cbcd657.css)
17:04:06	146365/146365	---M--	200	added ('OK')	image/png	etag:%2223bbd-64df8733f02d3%22	https://mapitgis.com/assets/images/background-light-07c1ea9ba7dc298ddd7b0ef43040522e.png	F:/mapitgis/mapitgis/mapitgis.com/assets/images/background-light-07c1ea9ba7dc298ddd7b0ef43040522e.png	(from https://mapitgis.com/assets/css/styles.7cbcd657.css)
17:04:06	329/329	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:08%20GMT	https://mapitgis.com/blog/the-mapit-story	F:/mapitgis/mapitgis/mapitgis.com/blog/the-mapit-story	(from https://mapitgis.com/blog/ios-launch/)
17:04:07	33596/33596	---M-Z	200	added ('OK')	text/html	etag:%22833c-64df8738fbab8-gzip%22	https://mapitgis.com/blog/the-mapit-story/	F:/mapitgis/mapitgis/mapitgis.com/blog/the-mapit-story/index.html	(from https://mapitgis.com/blog/ios-launch/)
17:04:07	319/319	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:08%20GMT	https://mapitgis.com/blog/3.0.0	F:/mapitgis/mapitgis/mapitgis.com/blog/3.0.0	(from https://mapitgis.com/blog/ios-launch/)
